Sexe:--- Sexe:: 6.081162904980619e-05;;;TimesVisited: 1334
Status COVID:--- Sexe:: 0.00416633615076567;;;TimesVisited: 590
Sexe:--- Sex at birth:: 4.4065742878740544e-05;;;TimesVisited: 1393
Sex at birth:--- Sexe:: 0.0002891001061028353;;;TimesVisited: 1052
Final COVID status:--- Sexe:: 0.0040671365277125116;;;TimesVisited: 594
Sexe:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.0009280065977615992;;;TimesVisited: 846
�ge au recrutement:--- �ge au recrutement:: 4.552447130379278e-08;;;TimesVisited: 2688
�ge au recrutement:--- Weight in kg:: 0.024758191988438094;;;TimesVisited: 309
Weight in kg:--- �ge au recrutement:: 0.04281626686827733;;;TimesVisited: 231
�ge au recrutement:--- Living where?: 0.04189213330882069;;;TimesVisited: 234
Living where?--- �ge au recrutement:: 0.03628333158277286;;;TimesVisited: 254
Dementia ? --- �ge au recrutement:: 0.03526704798325864;;;TimesVisited: 258
�ge au recrutement:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 2.1082881862533043e-07;;;TimesVisited: 2395
Sex at birth:--- Sex at birth:: 0.00027955696259007734;;;TimesVisited: 1058
Sex at birth:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.0013342496302386486;;;TimesVisited: 783
Height in m:--- Height in m:: 0.00030746605544118566;;;TimesVisited: 1041
Height in m:--- Weight in kg:: 0.03628333158277286;;;TimesVisited: 254
Height in m:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.0011480862448012275;;;TimesVisited: 809
Weight in kg:--- Weight in kg:: 2.0644951370663023e-07;;;TimesVisited: 2399
Weight in kg:--- BMI:: 0.0011349204216798414;;;TimesVisited: 811
BMI:--- Weight in kg:: 0.0006223176434262401;;;TimesVisited: 916
Obesity ?--- Weight in kg:: 0.03404168555849463;;;TimesVisited: 263
Weight in kg:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 1.3572649792958913e-07;;;TimesVisited: 2479
BMI:--- BMI:: 4.4241679064693784e-07;;;TimesVisited: 2254
BMI:--- Obesity ?: 0.0412887695141021;;;TimesVisited: 236
Obesity ?--- BMI:: 0.026146489012113694;;;TimesVisited: 301
BMI:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 9.590965627470638e-06;;;TimesVisited: 1675
Smoking status:--- Smoking status:: 9.746735675109086e-06;;;TimesVisited: 1672
Smoking status:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.0003679460656519362;;;TimesVisited: 1009
Electronic cigarettes?--- Electronic cigarettes?: 0.03628333158277286;;;TimesVisited: 254
Drugs?--- Drugs?: 0.004701632610582207;;;TimesVisited: 570
Is the participant employed as a Healthcare Worker?  --- Is the participant employed as a Healthcare Worker?  : 0.003694309260024009;;;TimesVisited: 610
Is the participant employed as a Healthcare Worker?  --- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.033802425122457014;;;TimesVisited: 264
Living where?--- Living where?: 0.00011626371254647161;;;TimesVisited: 1216
Living where?--- Living with?: 0.01105442301049453;;;TimesVisited: 432
Living with?--- Living where?: 0.008864320846439289;;;TimesVisited: 467
Dementia ? --- Living where?: 0.04040230692510738;;;TimesVisited: 239
